iter	PRAUC	Logloss
0	0.8398689729	0.6791574351
1	0.8551395414	0.6654664133
2	0.8559813136	0.6528432341
3	0.8563980807	0.6418042422
4	0.8600595478	0.6306748074
5	0.8644858001	0.6209862054
6	0.8642513618	0.6115954492
7	0.8658952951	0.6023926754
8	0.8676620329	0.5938209895
9	0.8711582311	0.5857941608
10	0.871872933	0.5785036601
11	0.8719303617	0.5721667485
12	0.8725191956	0.5657956432
13	0.8723271765	0.5602552929
14	0.8719541477	0.5550659754
15	0.8734817483	0.5497627979
16	0.8734817483	0.5452310639
17	0.8730423889	0.5409025954
18	0.8730423889	0.5369364225
19	0.8738710563	0.5327674013
20	0.8730177387	0.5288999022
21	0.8729831701	0.525187721
22	0.8729710336	0.522089258
23	0.8747703378	0.5188868609
24	0.8747962077	0.5162169292
25	0.8762226361	0.5132474573
26	0.8776317457	0.5104577402
27	0.8779115116	0.5082119416
28	0.8777723532	0.5058177395
29	0.8788901169	0.5035019657
30	0.8788901169	0.5016904941
31	0.8808885289	0.4998467738
32	0.8837978154	0.4980265237
33	0.8837633939	0.4962578754
34	0.8837633939	0.4948638096
35	0.8838807584	0.493227634
36	0.8865149978	0.4915393161
37	0.8870302172	0.4901103438
38	0.887237864	0.4890005278
39	0.8870502086	0.4879790865
40	0.8868188741	0.4869428434
41	0.8874908042	0.4858839123
42	0.8879324764	0.4848474634
43	0.8886469188	0.4839688728
44	0.8883197898	0.4832280429
45	0.8883197898	0.4826050444
46	0.8883256482	0.4817048629
47	0.8888643025	0.4810377505
48	0.8901498473	0.4803106744
49	0.8900407555	0.4796165634
50	0.8907755158	0.4789336432
51	0.8929147505	0.4781989535
52	0.8929185725	0.4776497962
53	0.8933550634	0.4770150835
54	0.8936283159	0.4764295866
55	0.8935380137	0.4759818933
56	0.8997528347	0.475098276
57	0.9003251411	0.4746846629
58	0.9002209388	0.4742854686
59	0.9006819602	0.473873855
60	0.9006631447	0.4736044087
61	0.9006621691	0.4733523057
62	0.9005018362	0.4731115532
63	0.9011390111	0.4728205371
64	0.9011235315	0.4725515351
65	0.9020322132	0.4721544197
66	0.9046059356	0.4717488483
67	0.904973234	0.4714410771
68	0.9056110652	0.4711133698
69	0.9055945547	0.4709632288
70	0.906403184	0.4706434366
71	0.906403184	0.4705110628
72	0.9083534981	0.4701579713
73	0.9082519797	0.4700375635
74	0.9093819669	0.469763954
75	0.9092393631	0.4695750797
76	0.9117570168	0.4692160508
77	0.9118993408	0.4690540465
78	0.9118993408	0.4689699123
79	0.9118615552	0.4688878164
80	0.9130776699	0.468572015
81	0.9148004263	0.4680832335
82	0.9149236503	0.4680075767
83	0.9172559928	0.4676404528
84	0.9179797163	0.467375689
85	0.9199939314	0.4669993206
86	0.920544214	0.4667518022
87	0.9214935468	0.4665400539
88	0.922022475	0.4663981484
89	0.9225406834	0.466239844
90	0.9236099378	0.4659843848
91	0.9248189438	0.465748978
92	0.9255193991	0.4654357597
93	0.9254787802	0.4654007614
94	0.9257585786	0.4652056656
95	0.9257431857	0.4651768327
96	0.9259511917	0.4650533445
97	0.9278162373	0.464659198
98	0.9278666441	0.4645824641
99	0.9292596491	0.4643782307
100	0.9297871107	0.4641206845
101	0.9297871107	0.4641032339
102	0.9300134036	0.4638527132
103	0.9307272087	0.4636909052
104	0.931676545	0.4633689067
105	0.9324237878	0.4631833735
106	0.9336218026	0.4628100035
107	0.9333216394	0.4627868953
108	0.9329112012	0.4626973161
109	0.9330080272	0.4626250128
110	0.9330313244	0.4625696225
111	0.933161196	0.4624596104
112	0.933161196	0.4624515428
113	0.9335711471	0.4622538529
114	0.9341620823	0.461992647
115	0.9344735893	0.4617588174
116	0.9362919986	0.4613371376
117	0.9367567386	0.461098975
118	0.9377015078	0.4608834166
119	0.9378069437	0.4608200086
120	0.9380937837	0.4606775592
121	0.9396040609	0.4601521552
122	0.9396114215	0.4599477508
123	0.9404541275	0.4596086735
124	0.9406589331	0.4595257056
125	0.9415688017	0.4592695935
126	0.9434158911	0.4588868606
127	0.9438415066	0.4587274207
128	0.9440954749	0.4586089814
129	0.9452438227	0.4582660435
130	0.945734123	0.4581719374
131	0.9469465304	0.4577883389
132	0.9468664623	0.4576659544
133	0.9471613738	0.4575441929
134	0.9475797854	0.4573377911
135	0.9480371491	0.4571105587
136	0.9481918825	0.4570018292
137	0.9482275534	0.4568420247
138	0.9484819149	0.456541709
139	0.9489572559	0.4563081886
140	0.9491699962	0.4561564249
141	0.9500110599	0.4558710104
142	0.9501689469	0.4557550771
143	0.9500784813	0.4556774171
144	0.9505986356	0.4554584471
145	0.95067671	0.4553235522
146	0.9505748243	0.4552709966
147	0.9507966573	0.4551678811
148	0.9515119698	0.4548897042
149	0.9519846398	0.4546016481
150	0.9525191273	0.4543266012
151	0.9525191273	0.4543265899
152	0.9523649863	0.4542758276
153	0.9524557699	0.4540657853
154	0.9531531761	0.453865328
155	0.9538337044	0.4533149133
156	0.9537606015	0.4531153608
157	0.9538558572	0.4529599411
158	0.953802229	0.452895632
159	0.9541616356	0.4527429766
160	0.9540718534	0.4526675994
161	0.9540774965	0.4525619875
162	0.9542575538	0.4524359719
163	0.9543562016	0.4523078574
164	0.9547709232	0.4519577002
165	0.9547897095	0.4519149458
166	0.9547176306	0.4518602558
167	0.9547032439	0.451847639
168	0.9548942746	0.4517526203
169	0.9550803945	0.4515447989
170	0.9551196946	0.4514950376
171	0.9553868223	0.4513571665
172	0.955880896	0.4511267984
173	0.95595884	0.4510084637
174	0.9561486732	0.4508974401
175	0.9565027091	0.4506941055
176	0.9564595128	0.4505443563
177	0.9565677591	0.4503909097
178	0.9569359848	0.4500909313
179	0.9572363033	0.4498380802
180	0.9578078367	0.4495571672
181	0.9576226268	0.4493284355
182	0.9579219875	0.4491155286
183	0.9582964147	0.4488426062
184	0.9583576385	0.4487528356
185	0.95862106	0.4485971486
186	0.9587135567	0.4485124541
187	0.9587859335	0.4483559996
188	0.9586852291	0.4483325393
189	0.9588839038	0.4482189743
190	0.9593437478	0.4479889754
191	0.9594363465	0.4478436601
192	0.9601650589	0.4475258785
193	0.9605471825	0.4473259319
194	0.9606007811	0.4471416403
195	0.961216165	0.4468482611
196	0.9612832443	0.4466459
197	0.961252613	0.4464216826
198	0.9614436785	0.446255299
199	0.9621650019	0.445922592
200	0.9622086067	0.4458722993
201	0.9621447487	0.4458406941
202	0.962179159	0.4456828723
203	0.9622212506	0.4455772367
204	0.9622160321	0.4455304402
205	0.9627194038	0.4452391755
206	0.9627710053	0.4451973466
207	0.9627387869	0.4451244492
208	0.9633148821	0.4448327056
209	0.9634181316	0.4446840192
210	0.9635351774	0.4445693863
211	0.9636577412	0.4443927053
212	0.9639336762	0.4441429212
213	0.964003458	0.4440840617
214	0.9641821249	0.4438940664
215	0.9647122837	0.4435846534
216	0.9648993531	0.4433001201
217	0.9648993531	0.4433001173
218	0.9649342684	0.4431643407
219	0.9648256312	0.4430807731
220	0.9648773523	0.442909702
221	0.9649832238	0.4426988788
222	0.9652449676	0.4424115124
223	0.9654226001	0.4422455657
224	0.9655438319	0.4420917324
225	0.9655474202	0.4419667706
226	0.9656752208	0.4417519761
227	0.9657571002	0.44166328
228	0.9658831305	0.4415213252
229	0.9665132339	0.4411670355
230	0.9664333392	0.4410681731
231	0.9664540908	0.4409407702
232	0.9664397277	0.4408662342
