iter	Passed	Remaining
0	267	802236
1	327	491557
2	389	389496
3	450	337379
4	571	342117
5	730	364676
6	775	331776
7	859	321546
8	949	315567
9	1023	306075
10	1085	294889
11	1106	275533
12	1166	268100
13	1196	255216
14	1222	243179
15	1277	238321
16	1293	226908
17	1340	222064
18	1354	212572
19	1407	209732
20	1450	205807
21	1511	204660
22	1590	205909
23	1761	218452
24	1798	213997
25	1879	214941
26	1944	214128
27	1992	211456
28	2037	208728
29	2108	208733
30	2125	203520
31	2190	203177
32	2255	202763
33	2313	201800
34	2328	197258
35	2400	197681
36	2464	197370
37	2529	197201
38	2561	194497
39	2598	192317
40	2634	190132
41	2702	190367
42	2764	190134
43	2822	189649
44	2845	186867
45	2858	183533
46	2914	183100
47	2972	182816
48	3034	182751
49	3070	181165
50	3127	180841
51	3185	180620
52	3238	180090
53	3296	179844
54	3356	179725
55	3414	179506
56	3474	179380
57	3535	179343
58	3571	178023
59	3629	177821
60	3658	176258
61	3678	174326
62	3710	172961
63	3772	173081
64	3813	172179
65	3878	172402
66	3941	172559
67	4006	172736
68	4072	173006
69	4094	171394
70	4155	171447
71	4172	169666
72	4234	169780
73	4265	168670
74	4322	168586
75	4384	168671
76	4442	168646
77	4500	168593
78	4513	166901
79	4533	165466
80	4589	165402
81	4650	165476
82	4670	164151
83	4727	164104
84	4785	164127
85	4845	164194
86	4909	164372
87	4976	164674
88	5050	165179
89	5118	165483
90	5182	165678
91	5247	165852
92	5308	165944
93	5345	165250
94	5406	165318
95	5429	164255
96	5495	164476
97	5562	164708
98	5603	164210
99	5670	164446
100	5742	164818
101	5756	163543
102	5823	163785
103	5885	163894
104	5948	164007
105	6013	164190
106	6079	164365
107	6130	164160
108	6192	164253
109	6253	164306
110	6314	164350
111	6374	164380
112	6388	163216
113	6445	163163
114	6506	163227
115	6568	163301
116	6633	163448
117	6706	163793
118	6781	164180
119	6850	164423
120	6919	164630
121	6983	164747
122	7066	165279
123	7142	165670
124	7327	168521
125	7415	169142
126	7482	169278
127	7546	169333
128	7628	169771
129	7693	169857
130	7758	169923
131	7823	169989
132	7891	170102
133	7954	170123
134	8018	170171
135	8082	170212
136	8147	170270
137	8209	170252
138	8272	170277
139	8335	170282
140	8399	170304
141	8461	170305
142	8527	170380
143	8593	170446
144	8667	170651
145	8736	170782
146	8782	170445
147	8844	170438
148	8906	170423
149	8972	170471
150	9035	170470
151	9052	169618
152	9116	169639
153	9190	169838
154	9268	170116
155	9325	170017
156	9390	170043
157	9454	170062
158	9505	169835
159	9573	169930
160	9641	170017
161	9716	170220
162	9797	170517
163	9873	170738
164	9950	170963
165	10023	171128
166	10107	171471
167	10162	171315
168	10239	171526
169	10312	171668
170	10387	171852
171	10457	171946
172	10530	172082
173	10603	172214
174	10686	172513
175	10765	172736
176	10840	172889
177	10916	173075
178	10993	173250
179	11073	173492
180	11151	173685
181	11229	173875
182	11309	174098
183	11380	174172
184	11448	174204
185	11512	174172
186	11577	174164
187	11640	174110
188	11693	173913
189	11753	173822
190	11809	173685
191	11867	173556
192	11923	173412
193	11979	173276
194	12036	173143
195	12096	173052
196	12156	172966
197	12224	172998
198	12283	172898
199	12355	172970
200	12416	172904
201	12472	172761
202	12538	172755
203	12606	172780
204	12674	172812
205	12743	172847
206	12811	172858
207	12877	172857
208	12941	172824
209	13004	172772
210	13070	172766
211	13134	172736
212	13197	172688
213	13263	172667
214	13320	172542
215	13377	172425
216	13435	172310
217	13448	171620
218	13505	171500
219	13563	171397
220	13624	171321
221	13692	171340
222	13845	172412
223	13986	173331
224	14071	173545
225	14133	173479
226	14194	173402
227	14256	173323
228	14314	173206
229	14373	173109
230	14434	173028
231	14494	172929
232	14553	172830
233	14609	172696
234	14674	172654
235	14741	172652
236	14821	172794
237	14847	172308
238	14915	172311
239	14980	172270
240	15045	172244
241	15090	171982
242	15159	171994
243	15225	171975
244	15292	171966
245	15368	172053
246	15391	171544
247	15458	171537
248	15522	171495
249	15583	171423
250	15631	171194
251	15689	171095
252	15757	171086
253	15826	171099
254	15898	171146
255	15966	171146
256	16035	171145
257	16091	171019
258	16160	171030
259	16232	171066
260	16295	171012
261	16381	171197
262	16444	171133
263	16473	170727
264	16531	170617
265	16588	170500
266	16617	170099
267	16679	170036
268	16747	170029
269	16816	170032
270	16881	170001
271	16951	170010
272	17018	170000
273	17090	170028
274	17151	169955
275	17212	169883
276	17270	169773
277	17335	169734
278	17406	169757
279	17475	169760
280	17541	169731
281	17612	169754
282	17682	169766
283	17749	169747
284	17817	169737
285	17886	169733
286	17952	169701
287	18013	169626
288	18071	169521
289	18128	169409
290	18186	169305
291	18245	169208
292	18304	169115
293	18367	169055
294	18420	168910
295	18490	168910
296	18547	168800
297	18611	168754
298	18678	168732
299	18711	168407
300	18773	168342
301	18832	168241
302	18884	168095
303	18936	167940
304	18995	167841
305	19053	167741
306	19110	167636
307	19169	167549
308	19225	167432
309	19283	167331
310	19341	167233
311	19399	167134
312	19457	167033
313	19515	166934
314	19575	166855
315	19632	166755
316	19690	166658
317	19747	166547
318	19805	166453
319	19862	166347
320	19918	166236
321	19976	166142
322	20041	166101
323	20122	166199
324	20271	166847
325	20349	166916
326	20408	166827
327	20467	166736
328	20524	166627
329	20582	166528
330	20641	166440
331	20700	166353
332	20758	166251
333	20816	166154
334	20875	166071
335	20933	165973
336	20996	165919
337	21073	165971
338	21167	166156
339	21234	166131
340	21293	166040
341	21348	165918
342	21421	165938
343	21488	165911
344	21552	165863
345	21610	165767
346	21671	165690
347	21741	165688
348	21816	165716
349	21878	165651
350	21940	165585
351	21996	165475
352	22055	165388
353	22114	165298
354	22172	165198
355	22229	165094
356	22288	165009
357	22345	164909
358	22399	164782
359	22460	164713
360	22515	164593
361	22570	164480
362	22625	164364
363	22683	164264
364	22738	164155
365	22795	164054
366	22867	164057
367	22942	164087
368	23009	164057
369	23082	164071
370	23152	164064
371	23231	164117
372	23301	164111
373	23374	164123
374	23439	164073
375	23502	164020
376	23563	163941
377	23623	163865
378	23702	163916
379	23768	163880
380	23834	163839
381	23901	163808
382	23971	163797
383	24055	163880
384	24134	163925
385	24212	163966
386	24273	163893
387	24349	163919
388	24422	163928
389	24478	163820
390	24548	163800
391	24617	163778
392	24687	163768
393	24755	163740
394	24818	163679
395	24877	163587
396	24939	163521
397	25001	163448
398	25072	163440
399	25150	163480
400	25231	163534
401	25305	163543
402	25378	163544
403	25449	163533
404	25517	163499
405	25577	163421
406	25635	163326
407	25698	163258
408	25755	163160
409	25815	163075
410	25872	162977
411	25931	162888
412	25989	162795
413	26047	162704
414	26109	162631
415	26167	162542
416	26228	162463
417	26286	162370
418	26348	162306
419	26407	162214
420	26466	162128
421	26545	162164
422	26607	162096
423	26766	162617
424	26824	162526
425	26884	162441
426	26948	162386
427	27007	162297
428	27067	162215
429	27127	162135
430	27189	162063
431	27249	161981
432	27309	161902
433	27368	161817
434	27427	161725
435	27488	161651
436	27547	161565
437	27609	161494
438	27669	161416
439	27728	161329
440	27789	161251
441	27847	161164
442	27906	161077
443	27965	160988
444	28027	160920
445	28098	160905
446	28170	160891
447	28231	160817
448	28294	160753
449	28360	160710
450	28425	160659
451	28487	160588
452	28546	160502
453	28610	160446
454	28677	160404
455	28738	160330
456	28806	160295
457	28864	160206
458	28926	160136
459	28995	160104
460	29060	160051
461	29126	160004
462	29186	159928
463	29255	159895
464	29349	160001
465	29413	159945
466	29487	159942
467	29550	159875
468	29621	159857
469	29690	159822
470	29763	159812
471	29838	159811
472	29890	159689
473	29952	159618
474	30016	159561
475	30089	159550
476	30185	159658
477	30250	159605
478	30318	159569
479	30382	159510
480	30451	159476
481	30513	159406
482	30576	159341
483	30648	159322
484	30703	159216
485	30766	159151
486	30825	159065
487	30890	159008
488	30951	158933
489	31012	158861
490	31075	158793
491	31143	158753
492	31210	158709
493	31277	158664
494	31357	158688
495	31472	158886
496	31556	158927
497	31622	158872
498	31688	158824
499	31764	158821
500	31844	158840
501	31909	158784
502	31973	158724
503	32046	158706
504	32129	158740
505	32193	158677
506	32246	158562
507	32305	158476
508	32365	158393
509	32421	158292
510	32482	158219
511	32541	158131
512	32621	158145
513	32698	158148
514	32801	158277
515	32903	158396
516	32971	158351
517	33042	158322
518	33111	158283
519	33236	158511
520	33368	158774
521	33437	158730
522	33501	158666
523	33564	158598
524	33632	158551
525	33720	158601
526	33787	158551
527	33857	158514
528	33920	158443
529	33982	158369
530	34045	158304
531	34107	158229
532	34168	158150
533	34230	158076
534	34288	157982
535	34348	157901
536	34411	157831
537	34475	157765
538	34536	157686
539	34593	157593
540	34652	157505
541	34712	157424
542	34772	157341
543	34837	157280
544	34912	157266
545	34990	157264
546	35061	157234
547	35132	157197
548	35211	157201
549	35284	157177
550	35356	157146
551	35433	157140
552	35502	157095
553	35568	157040
554	35630	156968
555	35693	156899
556	35759	156840
557	35837	156838
558	35927	156884
559	36003	156871
560	36078	156855
561	36149	156821
562	36227	156815
563	36312	156837
564	36387	156822
565	36465	156812
566	36548	156828
567	36626	156823
568	36703	156812
569	36776	156783
570	36850	156758
571	36918	156709
572	36989	156671
573	37065	156655
574	37137	156624
575	37211	156596
576	37282	156561
577	37349	156505
578	37423	156479
579	37489	156422
580	37558	156374
581	37626	156322
582	37694	156273
583	37761	156216
584	37827	156159
585	37891	156092
586	37959	156042
587	38028	155995
588	38093	155929
589	38171	155920
590	38254	155932
591	38338	155943
592	38412	155916
593	38485	155886
594	38558	155853
595	38627	155804
596	38703	155788
597	38777	155756
598	38854	155743
599	38925	155703
600	39000	155676
601	39072	155639
602	39143	155601
603	39222	155592
604	39294	155555
605	39372	155542
606	39442	155495
607	39515	155461
608	39591	155440
609	39674	155447
610	39761	155468
611	39856	155519
612	39952	155573
613	40029	155555
614	40103	155524
615	40173	155478
616	40245	155439
617	40460	155947
618	40536	155923
619	40602	155859
620	40675	155823
621	40745	155776
622	40819	155742
623	40910	155773
